objectid,objectid_1,loc_time,loc_year,loc_qtr,loc_no,loc_nm,sample_day,temp,ph,do_,salinity,cod,coliform_cnt,t_n,t_p,cn,cu,pb,cd,zn,cr,as_,ni,hg,phenol,no3_n,no2_n,nh3_n,din,dip,chl_a,low_do,transparency,toc,din_wqi,dip_wqi,chl_a_wqi,low_do_wqi,transparency_wqi,wqi_score,wqi_grade,gubun,timeseries,x,y
36,36,2018년 4분기,2018,4,30,선갑도 북방,2018-11-01,15.1,8.12,8.39,31.51,1.5,200,0.443,0.039,0,0,0,0,0,,0,0,0,0,0.241,0.005,0.0234,0.2694,0.031,0,107.1,1.3,1.81,1,2,1,1,1,22,Ⅰ,인천해역,201812,123090.5883,506997.3307
37,37,2018년 4분기,2018,4,33,덕적도 서북방,2018-11-01,14.9,8.03,8.57,31.87,0.2,250,0.451,0.035,0,0,0,0,0,,0,0,0,0,0.243,0.003,0.0394,0.2854,0.032,0.29,100.4,0.8,2.09,1,2,1,1,3,28,Ⅱ,인천해역,201812,111999.9565,510713.2939
38,38,2018년 4분기,2018,4,34,영흥도 서방,2018-11-01,14.1,8.07,8.5,31,0.6,140,0.518,0.043,0,0,0,0,0,,0,0,0,0,0.266,0.043,0.0429,0.3519,0.037,4.06,99.8,2.4,2.04,1,3,5,1,1,36,Ⅲ,인천해역,201812,148653.3443,518918.8791
39,39,2018년 4분기,2018,4,1,인천항 도크앞,2018-11-02,8.7,7.7,9.5,31.2,3.8,1900,0.775,0.054,0,0,0,0,0.009,,0,0,0,0,0.373,0.045,0.1216,0.5396,0.05,0.29,97.6,1.6,2.08,4,5,1,1,1,34,Ⅲ,인천해역,201812,165595.9593,540628.9499
40,40,2018년 4분기,2018,4,2,만석동 영종도 중간,2018-11-02,13.5,8,8.7,29.6,2.4,400,0.807,0.056,0,0,0,0,0.002,,0.001,0.001,0,0,0.457,0.044,0.1143,0.6153,0.05,0,98.5,2,2.22,4,5,1,1,1,34,Ⅲ,인천해역,201812,164602.3001,543901.1315
41,41,2018년 4분기,2018,4,3,인천남항 전면,2018-11-02,13.4,8.2,8.8,30.3,3.6,440,0.648,0.049,0,0.001,0,0,0.001,,0,0,0,0.0001,0.328,0.048,0.0818,0.4578,0.045,2.32,98.6,2.2,2.03,2,5,2,1,1,33,Ⅱ,인천해역,201812,164599.2403,537395.9511
42,42,2018년 4분기,2018,4,4,오이도 북방,2018-11-01,13.5,8,8.59,27.75,1.9,4900,1.621,0.117,0,0,0,0,0,,0,0.001,0,0.0002,0.837,0.097,0.5351,1.4691,0.111,1.31,101.1,0.9,2.88,5,5,1,1,3,42,Ⅲ,인천해역,201812,172412.9213,528703.3205
43,43,2018년 4분기,2018,4,5,세어도 우측,2018-11-02,13.1,7.98,8.92,25.01,2.6,230,1.385,0.066,0,0,0,0,0,,0,0,0,0,1.2,0.029,0.1076,1.3366,0.062,0,97.7,0.9,2.31,5,5,1,1,3,42,Ⅲ,인천해역,201812,162943.9033,552109.3209
44,44,2018년 4분기,2018,4,6,영종도 동남방,2018-11-02,13.7,8.07,8.74,30.85,2.7,150,0.606,0.046,0,0,0,0,0.013,,0,0,0,0,0.294,0.05,0.0551,0.3991,0.041,2.32,99.8,2.2,2.09,1,4,2,1,1,29,Ⅱ,인천해역,201812,161378.6589,532076.6217
45,45,2018년 4분기,2018,4,7,무의도 남방,2018-11-01,15,8.06,8.43,31.34,0.1,120,0.474,0.037,0,0,0,0,0,,0,0,0,0,0.231,0.027,0.0061,0.2641,0.034,0,96.5,1.4,1.97,1,3,1,1,1,24,Ⅱ,인천해역,201812,146295.9739,524020.6439
